Source/Request	Already?	Know? (grade)	POPULAR	Title	APP	Artist	Other Artist	Year	Other year	Duplicate	Decade	Genre	Crowd hit	Country?	Gig notes	MP3	Lyrics	Melody	Chords	Needs?	SIB DONE	PDF DONE	FORSCORE/TYPE	Artist New	Year New
				Fired	Y	Ben Folds		0			00s												PV		
				Fred Jones Part 2	Y	Ben Folds		0			00s												PV		
